Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
2.0240e-02,0.0291156
2.0272e-02,0.0288594
2.0304e-02,0.0281781
2.0336e-02,0.0278906
2.0368e-02,0.027725
2.0400e-02,0.0275187
2.0432e-02,0.0274531
2.0464e-02,0.0268469
2.0496e-02,0.0264687
2.0528e-02,0.026125
2.0560e-02,0.0262062
2.0592e-02,0.027225
2.0624e-02,0.0278
2.0656e-02,0.0280094
2.0688e-02,0.0281062
2.0720e-02,0.0278562
2.0752e-02,0.0277687
2.0784e-02,0.0271437
2.0816e-02,0.0268781
2.0848e-02,0.0279344
2.0880e-02,0.0282625
2.0912e-02,0.0283937
2.0944e-02,0.0277031
2.0976e-02,0.0270219
2.1008e-02,0.0270687
2.1040e-02,0.0277125
2.1072e-02,0.0284687
2.1104e-02,0.0280875
2.1136e-02,0.0286594
2.1168e-02,0.0285844
2.1200e-02,0.028975
2.1232e-02,0.0283812
2.1264e-02,0.0283719
2.1296e-02,0.0277469
2.1328e-02,0.0275375
2.1360e-02,0.0274906
2.1392e-02,0.0278031
2.1424e-02,0.0282875
2.1456e-02,0.0284219
2.1488e-02,0.0276844
2.1520e-02,0.0266656
2.1552e-02,0.0261656
2.1584e-02,0.0259219
2.1616e-02,0.0269531
2.1648e-02,0.0283687
2.1680e-02,0.0283969
2.1712e-02,0.0279156
2.1744e-02,0.027875
2.1776e-02,0.0276719
2.1808e-02,0.028075
2.1840e-02,0.02795
2.1872e-02,0.0281375
2.1904e-02,0.0288437
2.1936e-02,0.0294
2.1968e-02,0.0297156
2.2000e-02,0.0292
2.2032e-02,0.0296531
2.2064e-02,0.028975
2.2096e-02,0.0275406
2.2128e-02,0.0277625
2.2160e-02,0.0281281
2.2192e-02,0.0280937
2.2224e-02,0.0280406
2.2256e-02,0.0282625
2.2288e-02,0.0287219
2.2320e-02,0.0295875
2.2352e-02,0.0292906
2.2384e-02,0.0292812
2.2416e-02,0.0291031
2.2448e-02,0.0287875
2.2480e-02,0.0278281
2.2512e-02,0.0282625
2.2544e-02,0.0278781
2.2576e-02,0.027975
2.2608e-02,0.0278344
2.2640e-02,0.0285875
2.2672e-02,0.0290469
2.2704e-02,0.0283594
2.2736e-02,0.0282625
2.2768e-02,0.0290812
2.2800e-02,0.0287594
2.2832e-02,0.0287875
2.2864e-02,0.0288344
2.2896e-02,0.0290906
2.2928e-02,0.0286844
2.2960e-02,0.0288562
2.2992e-02,0.0284344
2.3024e-02,0.0294812
2.3056e-02,0.0293
2.3088e-02,0.0283
2.3120e-02,0.0276531
2.3152e-02,0.0278687
2.3184e-02,0.0280531
2.3216e-02,0.0281094
2.3248e-02,0.0286031
2.3280e-02,0.0284406
2.3312e-02,0.0279281
2.3344e-02,0.0280719
2.3376e-02,0.0281125
2.3408e-02,0.0283656
2.3440e-02,0.0278562
2.3472e-02,0.0281406
2.3504e-02,0.0288812
2.3536e-02,0.0285469
2.3568e-02,0.0282719
2.3600e-02,0.0283125
2.3632e-02,0.0284656
2.3664e-02,0.0288344
2.3696e-02,0.0283969
2.3728e-02,0.0284781
2.3760e-02,0.02905
2.3792e-02,0.0291812
2.3824e-02,0.0291625
2.3856e-02,0.0294844
2.3888e-02,0.0292781
2.3920e-02,0.0287062
2.3952e-02,0.0288031
2.3984e-02,0.0291562
2.4016e-02,0.0295125
2.4048e-02,0.0287156
