  2.94413     2.99683
  3.11815     2.98454
  3.41151     2.99572
  3.55881     3.00724
  3.84843     2.98281
  4.171     2.99392
  4.66634     2.98087
  4.99078     3.00978
  5.13683     3.00943
  5.33944     2.99114
  5.78134     3.02571
  6.10578     3.05462
  6.31275     3.07788
  6.69499     3.10071
  6.86652     3.06469
  7.0107     3.04654
  7.21643     3.05792
  7.447     3.02769
  7.73724     3.00919
  7.93736     2.96716
  8.1406     2.95481
  8.40599     2.97792
  8.55142     2.97164
  8.81868     3.01256
  9.05299     3.01794
  9.17108     3.02953
  9.40602     3.04085
  9.58315     3.05824
  9.85477     3.1407
  10.0903     3.15795
  10.4458     3.2046
  10.7143     3.25739
  10.9251     3.31625
  11.0742     3.34558
  11.3098     3.36283
  11.4801     3.31493
  11.618     3.23743
  11.6391     3.16021
  11.7187     3.08285
  11.8001     3.02329
  11.8498     2.94006
  11.9014     2.87464
  11.9523     2.80328
  12.0617     2.73179
  12.3196     2.68368
  12.6105     2.67112
  12.8485     2.71211
  12.9722     2.77712
  13.2127     2.84184
  13.3638     2.88898
  13.6043     2.95371
  13.8157     3.0185
  14.0866     3.09503
  14.3576     3.17156
  14.6846     3.22422
  14.927     3.30675
  15.1669     3.36554
  15.4957     3.436
  15.6486     3.50094
  15.8574     3.542
  16.0942     3.57112
  16.3497     3.49927
  16.4528     3.36843
  16.5292     3.26139
  16.5479     3.16043
  16.6237     3.04746
  16.669     2.92268
  16.715     2.80385
  16.7603     2.67907
  16.8088     2.58398
  16.8578     2.49481
  16.9361     2.40558
  17.1648     2.35755
  17.3662     2.32739
  17.5123     2.32704
  17.6347     2.38018
  17.764     2.4986
  17.833     2.59935
  18.0506     2.7235
  18.2961     2.83571
  18.454     2.94813
  18.6678     3.03667
  19.0631     3.18414
  19.3646     3.27247
  19.6064     3.34907
  19.8202     3.4376
  20.0017     3.49654
  20.1813     3.53767
  20.3653     3.62034
  20.604     3.66726
  20.7556     3.72033
  20.9887     3.71384
  21.2366     3.57078
  21.3261     3.30936
  21.4951     2.97059
  21.5882     2.74478
  21.6236     2.52505
  21.7815     2.35846
  21.9411     2.20967
  22.0754     2.09656
  22.2755     2.05453
  22.4595     2.1372
  22.6217     2.29116
  22.8126     2.43912
  23.004     2.59301
  23.1644     2.72917
  23.3242     2.85939
  23.5094     2.95393
  23.7879     3.10168
  23.9998     3.17241
  24.0638     3.22569
  24.3386     3.33783
  24.7295     3.44376
  24.8551     3.52657
  25.2199     3.66224
  25.5195     3.73276
  25.7576     3.77375
  25.898     3.71999
  26.0571     3.56527
  26.187     3.41061
  26.2292     3.25617
  26.3056     3.14913
  26.3746     2.97087
  26.5026     2.79841
  26.5771     2.67357
  26.7039     2.48924
  26.8275     2.27524
  26.9325     2.1622
  27.0096     2.0611
  27.122     2.01927
  27.275     2.08421
  27.5211     2.20236
  27.7368     2.3087
  27.8997     2.46859
  28.093     2.64029
  28.4075     2.85325
  28.6885     3.02474
